Term,Frequency
great,610
love,529
car,496
wawa,472
good,419
family,371
video,361
will,355
one,336
work,331
see,330
job,267
guys,259
im,224
put,222
awesome,217
wagon,216
keep,209
dont,206
back,204
time,203
yall,200
old,198
got,197
make,195
josh,187
need,185
know,180
going,180
new,178
use,177
nice,170
videos,165
really,163
kids,160
now,159
lol,157
cant,157
first,155
always,151
much,147
watching,143
cool,142
way,142
think,142
little,138
cars,137
dad,129
go,128
ralphie,128
thats,125
thanks,124
look,122
engine,122
best,119
better,118
wait,118
well,115
oil,115
rear,114
done,113
2,112
thing,110
take,109
working,108
wa,107
sleeperdude,106
looks,106
getting,103
watch,102
door,102
carpet,102
ive,102
fun,100
bug,100
brake,100
youre,100
another,99
sure,98
vw,98
drive,98
brakes,98
channel,97
beetle,96
paint,95
sounds,95
right,95
used,94
god,89
build,88
lot,88
ford,87
looking,85
parts,85
years,84
seats,83
man,83
even,82
never,82
holes,81
still,80
together,80
gonna,80
seat,80
thank,79
bless,78
front,77
hard,77
motor,76
shop,76
grease,76
say,76
amazing,75
dude,74
tire,74
day,74
end,74
made,73
big,73
side,73
every,73
life,73
driving,72
want,72
long,71
hope,71
something,70
might,70
next,70
sleeper,69
truck,69
u,69
please,67
help,67
sound,65
springs,65
wheel,65
seeing,65
heat,64
part,63
around,63
things,61
tires,60
come,59
show,59
remember,59
bit,59
two,59
1,58
3,58
makes,58
road,58
people,57
hey,57
super,57
happy,57
congratulations,56
stuff,56
find,55
tool,55
run,54
thought,54
shes,54
needs,53
girl,53
blue,53
let,53
wawas,53
may,52
granny,52
learning,52
said,52
maybe,52
floor,51
using,51
give,51
red,51
face,51
real,51
